City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
427,Mlonggo,ID,84.09,broken clouds,-6.5333,110.7,Asia Metal Art
436,Gushikawa,JP,85.62,scattered clouds,26.3544,127.8686,Kirari Guest House
437,Baherden,TM,75.56,overcast clouds,38.4362,57.4316,
439,Hami,CN,81.81,clear sky,42.8,93.45,Laoyutang Resort
440,Nortelandia,BR,75.51,scattered clouds,-14.4547,-56.8028,Hotel Karysmã
441,Bantou,CN,82.17,overcast clouds,26.2151,117.4893,
450,Nioro,GM,79.86,broken clouds,13.35,-15.75,
454,Emilio Carranza,MX,80.53,overcast clouds,19.9711,-96.6114,casa carranza
458,Adrar,MR,89.11,clear sky,20.5022,-10.0711,
459,Cockburn Town,TC,79.23,clear sky,21.4612,-71.1419,Osprey Beach Hotel
460,Tecoanapa,MX,84.76,overcast clouds,16.5167,-98.75,Hotel Manglares
462,Teahupoo,PF,76.96,scattered clouds,-17.8333,-149.2667,Vanira Lodge
465,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
467,Kirkwood,US,81.99,scattered clouds,38.5834,-90.4068,Holiday Inn St Louis SW - Route 66
472,Balabac,PH,85.01,broken clouds,7.9868,117.0645,Sing and Swing Lodge
477,Atchison,US,80.6,broken clouds,39.563,-95.1216,"Quality Inn, Atchison"
478,Neiafu,TO,75.88,moderate rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
480,Harrison,US,79.14,clear sky,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
486,Lorengau,PG,79.54,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
488,Ishigaki,JP,83.57,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
496,Sorong,ID,81.84,overcast clouds,-0.8833,131.25,waigo splash hotel
497,Puerto Gaitan,CO,75.4,overcast clouds,4.3133,-72.0816,Brisas del Yucao
501,Wukari,NG,76.75,overcast clouds,7.85,9.7833,Elimtop
503,Moussoro,TD,81.25,broken clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
505,San Cristobal,VE,77.18,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
507,Coahuayana,MX,81.72,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
508,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
510,Trairi,BR,79.21,broken clouds,-3.2778,-39.2689,janelas do mar
512,Thinadhoo,MV,84.54,overcast clouds,0.5333,72.9333,
519,Houston,US,84.06,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
520,Sibu,MY,83.71,broken clouds,2.3,111.8167,RH HOTEL (4 Star)
521,Sadiqabad,PK,88.45,clear sky,28.3062,70.1307,MIDWAY HOTEL & RESTAURANT
522,Jiwani,PK,86.86,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
526,Balingasay,PH,85.5,overcast clouds,16.3573,119.8564,Rock Garden Resort
527,Oistins,BB,79.77,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
534,Loandjili,CG,77.07,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
535,Kieta,PG,81.93,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
536,Hobyo,SO,78.26,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
537,Karratha,AU,75.36,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
540,Sokoto,NG,89.56,clear sky,13.0609,5.239,Shukura Coral Hotel
542,Luxor,EG,83.26,clear sky,25.6989,32.6421,Iberotel Luxor
543,Beterou,BJ,77.5,overcast clouds,9.1992,2.2586,Monastère de Kokoubou
553,Yinchuan,CN,76.32,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
560,Palauig,PH,86.92,overcast clouds,15.435,119.9045,Myhousebythesea
561,Miri,MY,83.32,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
563,Mahibadhoo,MV,83.46,overcast clouds,3.7833,72.9667,Omadhoo Inn
571,Kilindoni,TZ,77.58,light rain,-7.9139,39.6668,Bustani B&B
574,Pochutla,MX,85.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
575,Atambua,ID,80.46,clear sky,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
582,Pipri,IN,76.87,overcast clouds,19.8,75.5333,Sukhana River nilu and rushi home
583,Ko Samui,TH,83.07,overcast clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
590,San Jose De Ocoa,DO,75.67,overcast clouds,18.55,-70.5,Hotel El Barcon
591,Luwuk,ID,84.74,clear sky,-0.9516,122.7875,Hotel Santika Luwuk
592,Jalu,LY,77.14,clear sky,29.0331,21.5482,صاحبة الفخامة
595,Loreto,MX,79.65,overcast clouds,22.2667,-101.9667,José de Jesús Velásquez mora
599,Manoel Urbano,BR,75.52,clear sky,-8.8389,-69.2597,Baixada Beira Rio
601,Matay,EG,76.64,clear sky,28.419,30.7792,Nag Aespen
604,Ewa Beach,US,87.75,few clouds,21.3156,-158.0072,Uncle Junior Robert
614,Dwarka,IN,84.4,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
616,Tautira,PF,82.42,broken clouds,-17.7333,-149.15,Pension Oaoa
617,Timbiqui,CO,77.11,light rain,2.7717,-77.6654,hotel diana
626,Madeji,PK,86.02,clear sky,27.7544,68.4526,Maki Madani hotal Madeji
634,Santiago De Cuba,CU,82.51,scattered clouds,20.0247,-75.8219,Cubanacan San Felix
640,Tual,ID,81.77,broken clouds,-5.6667,132.75,Grand Vilia Hotel
645,Kandrian,PG,80.58,overcast clouds,-6.2167,149.55,Kandrian Station
649,Tahoua,NE,84.13,clear sky,14.8888,5.2692,Bungalows Guesthouse
653,Altamira,BR,76.05,few clouds,-3.2033,-52.2064,Requinte Hotel
659,Meadow Lake,US,83.68,overcast clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
669,Brigantine,US,75.47,clear sky,39.4101,-74.3646,Legacy Vacation Resort Brigantine Beach
670,Ocos,GT,85.32,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
672,Lockhart,US,82.6,clear sky,28.6194,-81.4426,Courtyard by Marriott Orlando Altamonte Springs/Maitland
673,Port Hedland,AU,75.25,broken clouds,-20.3167,118.5667,The Esplanade Hotel
678,Guilin,CN,77.67,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
680,Adolfo Lopez Mateos,MX,79.93,scattered clouds,28.4667,-107.3,Hotel Victor Inn
681,San Patricio,US,82.27,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
692,Bairiki,KI,87.8,light rain,1.3292,172.9752,Tarawa Boutique Hotel
697,Boffa,GN,79.07,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
701,San Clemente,US,79.74,scattered clouds,33.427,-117.61200000000001,Casablanca Inn
702,Isabela,PH,82.09,broken clouds,6.7085,121.9711,Isawad Resort
709,Bonthe,SL,80.56,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
